	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52
1	A0A8E2DNV6	Q9UW39	O42736	Q9UW40	M2RFT1																																																
2	A0A0P9ZE74	A0A0P9LXM6	A0A3M3P2R7	A0A1M7QJ98	Q48BQ8	A0A1H0J1N9	A0A5E7BA92	A0A0P9PHP4	A0A193SYF5	A0A2K4WM42	A0A0Q0DCR4	A0A0P9YK51	A0A1Y6JSK4	A0A0P9SNS4	A0A0P9WC66	A0A0P9M881	A0A0P9MDP3	A0A0Q0C2S1	A0A0P9PPB8	A0A2V0R7L2	A0A2K4WMT6	A0A0P9T9S3	A0A2K4W1R7																														
3	A0A0E4B9P2																																																				
4	A0A0E4B8L4	A0A0E4FN70																																																			
5	A0A0E4B8L0	A0A0E4BA56																																																			
7	A0A1M6ZR48	A0A2W7IRM7	A0A561DVX1	A0A1I1S2A5	A0A1I3LZB9	F6AF65																																															
8	A0A8H6Y805																																																				
9	A0A8E2AQP2																																																				
10	A0A2V5DF99	A0A379L7M0	A0A2L0T5W3	A0A315SXP2	Q88C69	A0A1W1YE82	A0A1Y5KK66	A0A445ZPK5	A0A285YSP0																																												
11	A0A0B7DHB0	A0A5E7LLU2	A0A5E6YGV1	A0A2C9EVV4	A0A5E6PER4	A0A0S4HV41	A0A2N0DR70	A0A3G7A9U1	A0A5E7ECY5	A0A5E6Y036	A0A370SP08	A0A1H1WIW4	A0A3G7YKP1	A0A560Z012	A0A1H2PE86	A0A5E7BXQ4	A0A4Y8H210	A0A5E7J7L6	A0A3G7X8J1	A0A1K1ZCE1	A0A5E6T8R6	A0A1G4U8F9	A0A2N7RAW1	A0A5E7U2E2	A0A1H1IID8	Q4K3M2	A0A7Y9VVX3	A0A1G6V410	A0A1K1SWB8	A0A1G5ZFU4	A0A1H1MWL3	A0A5E6XB24	A0A8H2RSA4	A0A031GB67	A0A3M3Y009	A0A4R3X3W0	A0A1H0P408	A0A5E7A7Z8	A0A5E7JPH8	A0A1H2GG67	A0A4R7V8E6	A0A1I4RBT5	A0A1K1S4D5	A0A5E7LFH8	J2XWK4	A0A2V2AD72	A0A1H6LQQ6	A0A3G7UIA4	A0A5E7JAD0	A0A5E7V675	W6VN87	I4LA59	A0A3S4P562
12	A0A0J6G8R0	A0A1D9ILF5	A0A105T3N7																																																		
15	A0A5E6YVI2	A0A267CFS4																																																			
16	A0A653E138	A0A1I7C7I8																																																			
18	A0A1G7M9S5	A0A7Y9XTP4																																																			
20	A0A379KFP9	A0A1X7DEV2																																																			
21	A0A1H7AWS7	A0A6M8M729	A0A1I0B1P4	A0A1G8HMD9	A0A1H9H757	A0A4R7WLU5																																															
24	A0A1H0IIZ9	A0A1B5D337																																																			
32	A0A2R6NVV5	A0A4S4KKB3																																																			
35	A0A8E2AKQ9																																																				
37	A0A1S3VJ71	A0A0S3S4A2	A0A0L9VE24	A0A4D6KUC7																																																	
40	A0A072V4V7	I3S5N6																																																			
45	A0A031MKR8																																																				
49	A7U4Q9	A7U4Q7	A7U4Q8	A7U4Q4	A7U4P2	A7U4Q5	A7U4P5																																														
54	A0A392PIG3	A0A392NJR0																																																			
