	0	1	2	3	4	5
1	A0A6P4CY95	A0A6P4CYY7	A0A445DIV1	A0A6P4CY86		
3	A0A0L9VE19	A0A0S3S4B3	A0A4D6KL64	A0A1S3VJF8		
6	A0A076KXC1	A0A3Q7XC20				
7	A0A0L9VDP0	A0A1S3VJC1	A0A0S3S4A6			
9	A0A8H6W3Z7					
10	A0A540MS91	A0A498K8W0				
11	A0A6A5P0D9	A0A6A4P7V2				
12	A0A0C9VQS2	A0A0C9VZX8				
13	A0A068PC52	B1B555				
19	A0A1S3E245	A0A076L2I2				
20	A0A7J7GKA3	A0A4S4ETG8				
21	A0A8B8ML26	A0A371DZV7				
22	C6TB83	A0A445IVV9	A0A0R4J5A2	O23961		
23	A0A251NLC5	M5WBH3	A0A6J5XF62			
24	A0A0S3S4B6	A0A1S3VJR1	A0A0L9VER1			
25	I3S4I5	A0A396J466	A0A072VFU7			
26	A0A0C9W5N0	A0A0C9VVZ6				
27	A0A396J467	G7IJU0	I3SKZ1			
28	Q40365	G7IJU3	I3SJ05	Q43791	B7FKI7	
29	A0A4P1QQ36	Q8GZR9	A0A6A4NRH8			
30	A0A6P4D4Q3	A0A445DIR8				
33	G7IJU2	Q43790				
34	Q8GZS1	A0A6A5P074	A0A4P1QW39	A0A6A4NMF5		
43	A0A392MGF2	A0A2K3L2I5	A0A2K3L1L5	A0A076KWI3		
45	B9GYK0	W8PVR9	A0A385JHX7	Q43102	Q08IT5	A9PD65
48	G7IJU6	Q93XK6				
50	C6TI50	I1L0D9	A0A445GSV9	A0A0B2QTJ7		
51	C6THF9	A0A445IVT4	A0A0B2QNF1			
52	A0A392MPB1	A0A2Z6PD98	A0A2K3LZE4			
53	K9UQY5	A0A5N5GNW2				
56	A0A7N2KLM3	A0A7N2KLM6				
66	A0A6P4CYV4	A0A444ZDM4	A0A445DJ20			
70	A0A3R9GU26	A0A7W6B7Y5				
72	A0A143ZMF0	A0A4R5UK84	A0A4R2UPP0			
76	Q7DN94					
81	Q76KW0					
86	V4TZX4	A0A067FHI4				
99	A0A2P1AFT0	A0A023H3P5	A0A2P1AFT3	A0A2P1AFU4		
102	A0A023H3P0	A0A023H3F3				
103	A0A2P1AFT5	A0A023H2S9	A0A2P1AFW2			
109	A0A1S6EF61	U5XMS5	A0A1S6EF55			
111	A0A453AJ15	A0A5A4MJV4				
114	A0A2R6PQ38	A0A0B0M860				
115	A0A1D6PD18	A0A1D6JYX3				
125	Q9UVW0					
