	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
1	A0A067F9U0	A0A067FI92	A0A067DM69	A0A2H5PD17	A0A067FI88	A0A2H5PC82	A0A2H5PC87	A0A2H5PC95	A0A2H5PD23	A0A2H5PC92	A0A2H5PC88	A0A4T9WAB8	A0A4T9WA86	V4TFM1									
7	A0A2H5PC80	A0A067FHH9																					
10	A0A565CIG9	A0A087G5A7																					
11	A0A3S3N4S4	A0A3S3PQZ1																					
16	A0A199W3C6	A0A6P5FHE8	A0A6V7PPX0																				
20	A0A1Q3EHU2	B5U994	A0A1Q3EKN0	A0A1Q3EKP4	B5U993	B5U992																	
25	A0A438JVD2	F6GUF3	A0A438ELX8																				
26	A0A4P1QVW8	A0A6A5P0F8	A0A6A4NX23																				
28	A0A2E7JFW4	A0A3D1XZ09	A0A1N7JHW1	A0A2E2G2X5	A0A2D8A986	A0A2D6NQE5																	
29	A0A8H5I0M3	A0A8H5HY98																					
30	A0A357LVT9	A0A2E0A500																					
31	A0A558NQ56	A0A2G2Q0P4	A0A2E2IEJ7																				
36	A0A1V2DS48	A0A2E5SAU1																					
42	A0A3D3E5I8	A0A2E3BDL9																					
45	A0A1J3JTG5	V4KRP2	A0A1J3DQ46	A0A6D2HPW2	A0A1J3FFB4	A0A1J3HTZ5																	
49	A0A164VJR6	A0A166EVM0																					
53	A0A6A5NGN0	A0A6A4NQ36																					
56	A0A6J5UYH6	A0A6P5SYJ2	A0A4Y1R677	A0A6J5XJ43	M5WBJ3																		
59	A0A166FKI7	A0A164ZX54																					
60	A0A394DB24	A0A6A5NGD4	A0A6A4NHH7																				
61	A0A164PI90	A0A166E3C9																					
62	A0A6A4I869	A0A6A4IBW2																					
69	A0A164QPS4	A0A166C9C0																					
74	A0A6J0ZTD6	A0A061GSL9																					
76	A0A6J0K4K1	Q6JKN8	A0A3P6EPB8	Q6QZP3																			
79	A0A0R4J5E9	A0A445GT28																					
80	K7ZW09	A0A178UC21	Q53YQ3	A0A654FZ07	Q9FG34																		
81	A0A0R0KJA5	A0A445LBM8	I1N996	A0A0B2SFA7	A0A445FGN5																		
83	A0A1J6KU75	A0A1S3YJK7																					
85	A0A2I4EDM8	A0A6P9EEW6																					
88	A0A6P6SKZ2	A0A068UP04																					
91	A0A5B6VPH6	A0A7J8U568	A0A0D2RW32	A0A5D2JUG5	A0A5J5QBK0	A0A7J8RAA8	A0A5D2BKT6	A0A7J8ZAS1	A0A5D2TV89	A0A7J9DRD4	Q8RVP3	A0A7J9L1X9	A0A0B0P9U3	A0A5D2Y6P1	A0A5D2PDL8	A0A1U8L990	A0A5J5UP69	A0A0D2P963	A0A5D2FJC4	A0A7J8LMN7	A0A7J9IY25	A0A7J8WXQ3	A0A0D2R1L6
93	G7IJU5	B7FI14	Q40366	I3T3Y4																			
