	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
1	A0A0S3S4A8	A0A0L9VDU5	A0A1S3VGP7																																																																							
3	A0A1I5PNJ5	A0A1G8EKR3	A0A560PKJ0																																																																							
4	A0A3G7HKB7	A0A7Z1GNP8	A0A5E7D9R7	A0A1H5GB57	I4KMB3	A0A5M9IJY8	A0A5E6RTH5	K9NTJ6	A0A5E7P6X5	W6V0G2	A0A5E7EML7	A0A1H3LD26	A0A0A1HRW5	A0A3G8CEA1	A0A1X7EM55	A0A1H0DZJ9	A0A560SYZ3	A0A120G870	A0A1I5J281	A0A560PGI1	I4K882	A0A1N7AFU5	A0A1H4QF16	A0A3G7CCG1	A0A1D3K661	A0A031J9T1	A0A0N0E3B7	A0A0C2I1A8	A0A145XPU5	A0A1H8R8E9	A0A5E6XY06	A0A5E7E6A7	A0A231GBV5	E2Y022	A0A1B5EU32	A0A1H3TNJ1	A0A2T5KHI8	A0A0Q0C735	A0A5E7ID53	A0A5E6THE5	A0A5M9IN35	A0A5E6MM86	A0A1H5NJ85	A0A1H2NUS6	A0A176NKH8	A0A1H2CTY5	A0A5E7LWM6	A0A560QP56	F2KB76	A0A5E6ZGC3	A0A5E7KTJ4	A0A1H1DSZ4	A0A5E7TRU5	A0A6L5BKN4	A0A5E7ITY7	A0A0J6JYY0	A0A1B5FG09	A0A285G463	A0A5E7P6I5	A0A4R6YZC4	A0A3G7U0F1	A0A109KJY2	A0A5E7KLP8	A0A1G9VVA7	G8PY70	A0A1H4UTH8	A0A8D9NRK8	A0A2W7MD87	A0A7W5N5X8	A0A7W4T761	A0A5E6ZAB2	A0A3G7KQU4	A0A2W7JYT7	A0A5E7WHQ7
8	A0A0F7Y5W5	A0A1B2FEN6	A0A1H9HLD0	A0A126SBW4	Q1I2R6	A0A2W7N7L6																																																																				
10	A0A446B440	A0A380SU38	A0A5E6TNH2																																																																							
11	A0A1H4XII2	A0A654AKU6	A0A653Q1S5																																																																							
12	A0A5E7UEN2	A0A5E7KL22	A0A1H4V8V7	A0A0D0TND9	A0A5E7RYG7	A0A379JG15	A0A3G7UXP3	A0A1H5KTU8	A0A0R2Z8P1																																																																	
13	A0A1I5NWE0	A0A1H2MLZ2	A0A1G7P1G2	A0A379JR53	A0A654APA1	A0A1G6W330	W6R151	A0A2W5W7Q9	A0A1H0U3W9	A0A379INR0	A0A5P9CE10	A0A1I5YHU4	A0A1G5XLW2	A0A397MCE2	A0A653B367																																																											
15	A0A379ILM8	A0A1B5F5Y9	A0A2H2YG21																																																																							
16	A0A0D6T068	A0A542VB13	A0A1I0SGA2	A0A679GEE0	A0A6J4DXV3																																																																					
22	P78733	Q1K9D0																																																																								
23	Q12170	P19136																																																																								
24	Q8NKA7																																																																									
26	Q8NKA9																																																																									
27	A0A4S4KGM1	A0A2R6PZ77																																																																								
28	A0A8E2DGE3	A0ELU1																																																																								
29	M2R6N6	A0A2I7M8U2																																																																								
30	A0A8E2AXT7																																																																									
32	M2RG07	Q873X7																																																																								
34	A0A0E4B8M9	A0A0E3VN55	A0A0C3SE99	Q8NJW5																																																																						
41	A7U4R7	A7U4R6																																																																								
44	Q8NJW6																																																																									
